"Date","DayCount","TopoLocation","Drought","N","meanSoilMoisture","sdSoilMoisture","seSoilMoisture","ciSoilMoisture","DroughtTimePds"
2014-11-16,3,"2","Pre-drought",5,0.415616666666667,0.0406007235157208,0.0181571955433652,0.0504124566904955,"Pre-Drought"
2014-11-16,3,"3","Pre-drought",5,0.427191666666667,0.0700887247728034,0.0313446306096524,0.0870266462304023,"Pre-Drought"
2014-11-16,3,"4","Pre-drought",5,0.474733333333334,0.0224364573419148,0.0100338887581591,0.0278585413286901,"Pre-Drought"
2014-11-16,3,"5","Pre-drought",5,0.4381,0.0298974607570982,0.0133705509215008,0.0371226006597987,"Pre-Drought"
2014-11-16,3,"6","Pre-drought",5,0.473908333333333,0.0261134078481619,0.0116782710145333,0.0324240783954743,"Pre-Drought"
2014-11-16,3,"7","Pre-drought",5,0.522675,0.00426838344367291,0.00190887910681745,0.00529989805253765,"Pre-Drought"
2014-11-17,4,"1","Pre-drought",5,0.441241666666667,0.0300075569185868,0.0134197874217308,0.0372593030998595,"Pre-Drought"
2014-11-17,4,"2","Pre-drought",5,0.423891666666667,0.0371930329684056,0.0166332300013491,0.0461812500208749,"Pre-Drought"
2014-11-17,4,"3","Pre-drought",5,0.429258333333333,0.0721622304256181,0.0322719305279371,0.0896012435495743,"Pre-Drought"
2014-11-17,4,"4","Pre-drought",5,0.478525,0.0205289556683562,0.00918082807630482,0.025490065174119,"Pre-Drought"
2014-11-17,4,"5","Pre-drought",5,0.442716666666667,0.0268103129773683,0.0119899364630881,0.0332894004045734,"Pre-Drought"
2014-11-17,4,"6","Pre-drought",5,0.477341666666666,0.0267592371123192,0.0119670946418362,0.0332259813417648,"Pre-Drought"
2014-11-17,4,"7","Pre-drought",5,0.523675,0.0037786406285859,0.00168985946161212,0.00469180203066515,"Pre-Drought"
2014-11-18,5,"1","Pre-drought",5,0.436854545454545,0.0310561574789182,0.0138887358485599,0.0385613126641192,"Pre-Drought"
2014-11-18,5,"2","Pre-drought",5,0.417127272727273,0.0398155146470765,0.0178060394620003,0.0494374911072296,"Pre-Drought"
2014-11-18,5,"3","Pre-drought",5,0.418981818181818,0.0740150866908314,0.0331005530402478,0.0919018684679359,"Pre-Drought"
2014-11-18,5,"4","Pre-drought",5,0.468945454545454,0.0183857427696051,0.00822235412993245,0.0228289148772538,"Pre-Drought"
2014-11-18,5,"5","Pre-drought",5,0.431736363636363,0.0279964098938088,0.0125203751297008,0.0347621342440981,"Pre-Drought"
2014-11-18,5,"6","Pre-drought",5,0.4691,0.0314116792776399,0.0140477300304449,0.0390027512821687,"Pre-Drought"
2014-11-18,5,"7","Pre-drought",5,0.521209090909091,0.0059038088280096,0.00264026357311856,0.00733054687401708,"Pre-Drought"
2014-11-19,6,"1","Pre-drought",5,0.447283333333333,0.029495312127523,0.0131907045869431,0.0366232671845282,"Pre-Drought"
2014-11-19,6,"2","Pre-drought",5,0.426191666666667,0.0368743950044531,0.0164907307718272,0.0457856087325742,"Pre-Drought"
2014-11-19,6,"3","Pre-drought",5,0.43095,0.0721959584991507,0.0322870141809709,0.0896431224842085,"Pre-Drought"
2014-11-19,6,"4","Pre-drought",5,0.479225,0.019521280233234,0.00873018192186683,0.0242388708644534,"Pre-Drought"
2014-11-19,6,"5","Pre-drought",5,0.442275,0.0256602501449226,0.0114756127287392,0.0318614087898534,"Pre-Drought"
2014-11-19,6,"6","Pre-drought",5,0.47765,0.0288147459356026,0.0128863461332787,0.035778232645626,"Pre-Drought"
2014-11-19,6,"7","Pre-drought",5,0.52335,0.00339482346947396,0.00151821120987109,0.00421523008230301,"Pre-Drought"
2014-11-20,7,"1","Pre-drought",5,0.443125,0.0329651804939698,0.0147424768950133,0.0409316778136513,"Pre-Drought"
2014-11-20,7,"2","Pre-drought",5,0.423166666666667,0.0375315029712077,0.0167845983882712,0.0466015160378263,"Pre-Drought"
2014-11-20,7,"3","Pre-drought",5,0.427366666666667,0.074739068087655,0.0334243273637963,0.092800810103741,"Pre-Drought"
2014-11-20,7,"4","Pre-drought",5,0.475825,0.0186716743654956,0.00835022662699768,0.02318394584582,"Pre-Drought"
2014-11-20,7,"5","Pre-drought",5,0.436183333333334,0.0268765277343549,0.0120195486026352,0.0333716168844735,"Pre-Drought"
2014-11-20,7,"6","Pre-drought",5,0.474558333333334,0.0300401872035149,0.0134343801287757,0.0372998189499059,"Pre-Drought"
