Sample#,Location,Replicate,Depth,Sampling Period,SamplingMonth,Tin Weight (g),Tin + wet soil (g),Tin + dry soil wt (g),Soil for Fe in 0.5 M HCl (g),Soil for P in 0.5 M NaHCO3 (g),Soil for pH (g),Time H2O added,Time pH read,pH,NaOH wt reagent,NaHCO3 wt reagent,HCl wt reagent,2M KCl wt reagent N concentrations day 0,2M KCl wt reagent N transformations day 7,Soil wt in 2M KCl cup (g) for N concetrations day 0,Soil for N transformations wt day 0,Soil for N transformations wt day 7,Fe(II) concentration (mg-Fe/g),Fe(II+III) concentration (mg-Fe/g),FeIII_mg_Fe_per_dry_weight_soil_g,Bicarb-Pi,Bicarb-Pt,Bicarb-Po,NaOH-Pi,NaOH-Pt,NaOH-Po,Total P
3,Ridge,3,0-15,Drought,15-Jul,,,,,,,1:17,1:28,4.27,,,,,,,,,0.039384939,1.399643337,1.360258398,0.253169251,18.65584589,18.40267664,39.58208394,210.3552677,170.7731838,229.0111136
4,Ridge,4,0-15,Drought,15-Jul,,,,,,,1:51,2:02,4.61,,,,,,,,,0.041436854,0.706996077,0.665559223,0.342371973,20.47054573,20.12817376,35.60668516,170.6745719,135.0678867,191.1451176
5,Ridge,5,0-15,Drought,15-Jul,,,,,,,1:59,2:09,4.63,,,,,,,,,0.082999196,1.115868637,1.032869441,1.3422542,17.55553419,16.21327999,45.30107925,217.4646898,172.1636105,235.0202239
6,Ridge,6,0-15,Drought,15-Jul,,,,,,,2:10,2:20,4.49,,,,,,,,,0.05357962,0.945786267,0.892206647,0.242934535,20.45903724,20.2161027,40.03500055,230.2811357,190.2461352,250.7401729
7,Mid-slope,1,0-15,Drought,15-Jul,,,,,,,2:43,2:53,4.76,,,,,,,,,0.324007104,3.327447976,3.003440872,0.39057735,26.27185827,25.88128092,56.63371573,223.9110424,167.2773267,250.1829006
8,Mid-slope,2,0-15,Drought,15-Jul,,,,,,,3:11,3:21,4.76,,,,,,,,,0.044697691,0.908049441,0.86335175,0.271984244,22.90549505,22.6335108,31.41393343,219.6225472,188.2086137,242.5280422
9,Mid-slope,3,0-15,Drought,15-Jul,,,,,,,4:27,4:37,4.64,,,,,,,,,0.045400947,1.164562834,1.119161887,0,19.30480191,19.30480191,29.88898036,183.9486894,154.059709,203.2534913
10,Mid-slope,4,0-15,Drought,15-Jul,,,,,,,4:34,4:44,5.02,,,,,,,,,0.021375711,0.509516763,0.488141052,0,18.56895844,18.56895844,20.58620385,165.1412886,144.5550848,183.7102471
11,Mid-slope,5,0-15,Drought,15-Jul,,,,,,,5:07,5:17,5.03,,,,,,,,,0.014142544,0.478507975,0.464365431,0,25.51807428,25.51807428,18.62366855,126.3657648,107.7420962,151.883839
12,Mid-slope,6,0-15,Drought,15-Jul,,,,,,,4:29,4:39,4.58,,,,,,,,,0.03894299,0.747767995,0.708825005,0.295453239,17.66525744,17.3698042,43.13617287,174.2875924,131.1514195,191.9528498
13,Low-slope,1,0-15,Drought,15-Jul,,,,,,,4:30,4:40,4.81,,,,,,,,,0.012876083,0.209626442,0.196750359,0,12.92900482,12.92900482,17.58743289,52.70049153,35.11305863,65.62949635
14,Low-slope,2,0-15,Drought,15-Jul,,,,,,,4:32,4:42,4.83,,,,,,,,,0.011370789,0.237096895,0.225726106,0,16.76861287,16.76861287,22.75706335,125.1627493,102.405686,141.9313622
15,Low-slope,3,0-15,Drought,15-Jul,,,,,,,4:33,4:43,4.89,,,,,,,,,0.094742636,3.195847633,3.101104997,1.013741606,17.6784948,16.66475319,55.41787444,207.7576875,152.3398131,225.4361823
16,Low-slope,4,0-15,Drought,15-Jul,,,,,,,3:08,3:18,5.28,,,,,,,,,0.027276979,0.880361342,0.853084363,0.31721386,33.19108268,32.87386882,28.23203355,137.0486826,108.816649,170.2397652
17,Low-slope,5,0-15,Drought,15-Jul,,,,,,,2:53,3:03,5.07,,,,,,,,,0.021209289,0.640618987,0.619409698,0.244044856,35.96695253,35.72290767,30.24941983,145.6545045,115.4050847,181.621457
18,Low-slope,6,0-15,Drought,15-Jul,,,,,,,2:50,3:00,5.12,,,,,,,,,0.027094134,0.722587541,0.695493407,0.352435755,39.51049305,39.15805729,32.42408945,140.5531443,108.1290548,180.0636373
19,Valley,1,0-15,Drought,15-Jul,,,,,,,2:16,2:26,5.1,,,,,,,,,2.611191074,6.002087954,3.39089688,1.66195539,46.57918216,44.91722677,68.140171,182.9593494,114.8191784,229.5385316
